Inflation rate in Azerbaijan 2029,,
Azerbaijan: Inflation rate from 1999 to 2029 (compared to the previous year),,
,,
2000,1.80,in %
2001,1.77,in %
2002,2.76,in %
2003,2.12,in %
2004,6.71,in %
2005,9.58,in %
2006,8.30,in %
2007,16.71,in %
2008,20.81,in %
2009,1.46,in %
2010,5.72,in %
2011,7.88,in %
2012,1.07,in %
2013,2.41,in %
2014,1.37,in %
2015,4.04,in %
2016,12.45,in %
2017,12.94,in %
2018,2.26,in %
2019,2.60,in %
2020,2.76,in %
2021,6.66,in %
2022,13.86,in %
2023*,8.81,in %
2024*,2.10,in %
